name,count,unified,subgroup,group
face,48,1F600,face-positive,Smileys & People
eyes,126,1F601,face-positive,Smileys & People
joy,543,1F602,face-positive,Smileys & People
laughing,None,1F923,face-positive,Smileys & People
eyes,38,1F603,face-positive,Smileys & People
eyes,70,1F604,face-positive,Smileys & People
sweat,78,1F605,face-positive,Smileys & People
face,34,1F606,face-positive,Smileys & People
face,74,1F609,face-positive,Smileys & People
eyes,189,1F60A,face-positive,Smileys & People
food,108,1F60B,face-positive,Smileys & People
sunglasses,179,1F60E,face-positive,Smileys & People
heart-eyes,498,1F60D,face-positive,Smileys & People
kiss,192,1F618,face-positive,Smileys & People
face,9,1F617,face-positive,Smileys & People
eyes,26,1F619,face-positive,Smileys & People
eyes,18,1F61A,face-positive,Smileys & People
face,None,263A-FE0F,face-positive,Smileys & People
face,65,263A,face-positive,Smileys & People
face,None,1F642,face-positive,Smileys & People
face,None,1F917,face-positive,Smileys & People
star-struck,None,1F929,face-positive,Smileys & People
face,None,1F914,face-neutral,Smileys & People
eyebrow,None,1F928,face-neutral,Smileys & People
face,6,1F610,face-neutral,Smileys & People
face,7,1F611,face-neutral,Smileys & People
mouth,None,1F636,face-neutral,Smileys & People
eyes,None,1F644,face-neutral,Smileys & People
face,62,1F60F,face-neutral,Smileys & People
face,5,1F623,face-neutral,Smileys & People
face,12,1F625,face-neutral,Smileys & People
mouth,6,1F62E,face-neutral,Smileys & People
face,None,1F910,face-neutral,Smileys & People
face,8,1F62F,face-neutral,Smileys & People
face,23,1F62A,face-neutral,Smileys & People
face,14,1F62B,face-neutral,Smileys & People
face,48,1F634,face-neutral,Smileys & People
face,24,1F60C,face-neutral,Smileys & People
tongue,20,1F61B,face-neutral,Smileys & People
tongue,64,1F61C,face-neutral,Smileys & People
tongue,46,1F61D,face-neutral,Smileys & People
face,None,1F924,face-neutral,Smileys & People
face,26,1F612,face-neutral,Smileys & People
sweat,4,1F613,face-neutral,Smileys & People
face,14,1F614,face-neutral,Smileys & People
face,6,1F615,face-neutral,Smileys & People
face,None,1F643,face-neutral,Smileys & People
face,None,1F911,face-neutral,Smileys & People
face,2,1F632,face-neutral,Smileys & People
face,None,2639-FE0F,face-negative,Smileys & People
face,None,2639,face-negative,Smileys & People
face,None,1F641,face-negative,Smileys & People
face,1,1F616,face-negative,Smileys & People
face,13,1F61E,face-negative,Smileys & People
face,1,1F61F,face-negative,Smileys & People
nose,10,1F624,face-negative,Smileys & People
face,33,1F622,face-negative,Smileys & People
face,87,1F62D,face-negative,Smileys & People
mouth,1,1F626,face-negative,Smileys & People
face,4,1F627,face-negative,Smileys & People
face,7,1F628,face-negative,Smileys & People
face,14,1F629,face-negative,Smileys & People
head,None,1F92F,face-negative,Smileys & People
face,12,1F62C,face-negative,Smileys & People
sweat,15,1F630,face-negative,Smileys & People
fear,40,1F631,face-negative,Smileys & People
face,23,1F633,face-negative,Smileys & People
face,None,1F92A,face-negative,Smileys & People
face,10,1F635,face-negative,Smileys & People
face,17,1F621,face-negative,Smileys & People
face,9,1F620,face-negative,Smileys & People
mouth,None,1F92C,face-negative,Smileys & People
mask,7,1F637,face-sick,Smileys & People
thermometer,None,1F912,face-sick,Smileys & People
head-bandage,None,1F915,face-sick,Smileys & People
face,None,1F922,face-sick,Smileys & People
vomiting,None,1F92E,face-sick,Smileys & People
face,None,1F927,face-sick,Smileys & People
halo,55,1F607,face-role,Smileys & People
face,None,1F920,face-role,Smileys & People
face,None,1F921,face-role,Smileys & People
face,None,1F925,face-role,Smileys & People
face,None,1F92B,face-role,Smileys & People
mouth,None,1F92D,face-role,Smileys & People
monocle,None,1F9D0,face-role,Smileys & People
face,None,1F913,face-role,Smileys & People
horns,25,1F608,face-fantasy,Smileys & People
